,_id,title,artist,song_id,analysis,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,k_cluster
1583,623019fb0d44552013980f41,Judy's Turn To Cry,Lesley Gore,5Vb0SgInHwS0tq46dApdBY,"[  0.592    0.742    0.573    0.      11.       0.0711 -12.477    0.
   0.0591]",0.592,0.742,0.573,0.0,11.0,0.0711,-12.477,0.0,0.0591,1.0
1584,62301a010d44552013980f4a,Candy Girl,The 4 Seasons,4AFLFG6pyvhBLC37FbDwc2,[ 0.719  0.644  0.52   0.     5.     0.644 -8.163  1.     0.036],0.719,0.644,0.52,0.0,5.0,0.644,-8.163,1.0,0.036,4.0
1585,62301a050d44552013980f50,Be True To Yourself,Bobby Vee,2Djzx2jL5Yr0zOARwKCSHT,[ 0.476   0.633   0.515   0.      0.      0.0905 -9.339   1.      0.0413],0.476,0.633,0.515,0.0,0.0,0.0905,-9.339,1.0,0.0413,4.0
1586,62301a060d44552013980f53,Till Then,The Classics,5I0UyqmIzXDcO05izsYeKE,[ 0.947   0.456   0.405   0.0101  4.      0.11   -8.883   1.      0.0289],0.947,0.456,0.405,0.0101,4.0,0.11,-8.883,1.0,0.0289,4.0
1587,62301a0b0d44552013980f5a,Abilene,George Hamilton IV,5bA26v8eeZrbHJpD4YPKAX,"[ 4.4500e-01  6.3000e-01  4.4800e-01  1.4300e-05  5.0000e+00  2.7100e-01
 -1.5015e+01  1.0000e+00  2.7100e-02]",0.445,0.63,0.448,1.43e-05,5.0,0.271,-15.015,1.0,0.0271,4.0
1588,62301a0e0d44552013980f60,"Green, Green",The New Christy Minstrels,62FgmkaAc47fWDWW24NGWK,"[  0.471    0.628    0.783    0.       5.       0.0922 -10.317    1.
   0.0385]",0.471,0.628,0.783,0.0,5.0,0.0922,-10.317,1.0,0.0385,0.0
1589,62301a110d44552013980f64,Be Careful Of Stones That You Throw,Dion,6YqP03ywyReyACoDSVnAHQ,"[  0.871    0.398    0.271    0.       2.       0.301  -14.225    1.
   0.0326]",0.871,0.398,0.271,0.0,2.0,0.301,-14.225,1.0,0.0326,4.0
1590,62301a120d44552013980f67,Rock Me In The Cradle Of Love,Dee Dee Sharp,0v1lcmxKiEwhjFxeuK02EM,[ 0.0115  0.411   0.831   0.      3.      0.264  -5.805   1.      0.0601],0.0115,0.411,0.831,0.0,3.0,0.264,-5.805,1.0,0.0601,5.0
1591,62301a160d44552013980f6d,My Whole World Is Falling Down,Brenda Lee,5TwBbUyRLMiat8RUkcd6D0,[ 0.39    0.762   0.45    0.     10.      0.223  -9.871   1.      0.0369],0.39,0.762,0.45,0.0,10.0,0.223,-9.871,1.0,0.0369,3.0
1592,62301a170d44552013980f70,Tips Of My Fingers,Roy Clark,3dxgNA1Qz5w121R2CqwwhU,"[ 7.0800e-01  4.9900e-01  1.1400e-01  1.2700e-06  2.0000e+00  3.2000e-01
 -1.6573e+01  1.0000e+00  3.0900e-02]",0.708,0.499,0.114,1.27e-06,2.0,0.32,-16.573,1.0,0.0309,4.0
1593,62301a180d44552013980f73,I Wonder,Brenda Lee,1qxSpM8ExFGmQkkbrqwYA4,"[ 8.150e-01  5.290e-01  1.680e-01  3.100e-04  1.000e+01  8.270e-02
 -1.132e+01  1.000e+00  3.940e-02]",0.815,0.529,0.168,0.00031,10.0,0.0827,-11.32,1.0,0.0394,3.0
1594,62301a1a0d44552013980f77,I (Who Have Nothing),Ben E. King,2iXEV6fZUCUvJmKvAMGVkL,"[ 4.8000e-01  4.4600e-01  2.6200e-01  9.7200e-06  0.0000e+00  1.2700e-01
 -1.2076e+01  1.0000e+00  6.2900e-02]",0.48,0.446,0.262,9.72e-06,0.0,0.127,-12.076,1.0,0.0629,4.0
1595,62301a210d44552013980f80,Surf Party,Chubby Checker,2L4nBCk6HA8qEgzBuNUFfW,[ 0.118   0.641   0.826   0.      1.      0.284  -5.931   1.      0.0495],0.118,0.641,0.826,0.0,1.0,0.284,-5.931,1.0,0.0495,5.0
1596,62301a220d44552013980f83,True Love Never Runs Smooth,Gene Pitney,1AolUpmz8ebCvZtRFMAcqL,[ 0.604  0.492  0.438  0.     7.     0.395 -9.331  1.     0.031],0.604,0.492,0.438,0.0,7.0,0.395,-9.331,1.0,0.031,3.0
1597,62301a230d44552013980f86,Like The Big Guys Do,The Rocky Fellers,38IQNhwvuu38mhVKQCZf1G,[ 0.135   0.652   0.73    0.005   2.      0.336  -4.682   1.      0.0375],0.135,0.652,0.73,0.005,2.0,0.336,-4.682,1.0,0.0375,5.0
