danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,
0.619,0.556,0,-7.687,1,0.0806,0.133,0,0.594,0.566,99.39,audio_features,5in02YJDTkdfKDQjfsvxYp,spotify:track:5in02YJDTkdfKDQjfsvxYp,https://api.spotify.com/v1/tracks/5in02YJDTkdfKDQjfsvxYp,https://api.spotify.com/v1/audio-analysis/5in02YJDTkdfKDQjfsvxYp,206920,4,
0.464,0.559,7,-4.209,0,0.0287,0.368,0.000176,0.106,0.368,115.349,audio_features,4zvvvHm0b5CBl37tocxm7n,spotify:track:4zvvvHm0b5CBl37tocxm7n,https://api.spotify.com/v1/tracks/4zvvvHm0b5CBl37tocxm7n,https://api.spotify.com/v1/audio-analysis/4zvvvHm0b5CBl37tocxm7n,257347,4,
0.521,0.526,5,-6.032,1,0.0281,0.243,0.00537,0.108,0.502,130.694,audio_features,37zuIvk4KBkAxxLJsxJaHq,spotify:track:37zuIvk4KBkAxxLJsxJaHq,https://api.spotify.com/v1/tracks/37zuIvk4KBkAxxLJsxJaHq,https://api.spotify.com/v1/audio-analysis/37zuIvk4KBkAxxLJsxJaHq,268293,4,
0.531,0.363,10,-7.672,1,0.0608,0.749,0,0.112,0.259,121.412,audio_features,5TgEJ62DOzBpGxZ7WRsrqb,spotify:track:5TgEJ62DOzBpGxZ7WRsrqb,https://api.spotify.com/v1/tracks/5TgEJ62DOzBpGxZ7WRsrqb,https://api.spotify.com/v1/audio-analysis/5TgEJ62DOzBpGxZ7WRsrqb,229720,4,
0.365,0.875,1,-3.228,1,0.131,0.00893,0,0.0786,0.655,98.708,audio_features,4rcSvYi807urIIqfeX3tBo,spotify:track:4rcSvYi807urIIqfeX3tBo,https://api.spotify.com/v1/tracks/4rcSvYi807urIIqfeX3tBo,https://api.spotify.com/v1/audio-analysis/4rcSvYi807urIIqfeX3tBo,225307,4,
0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,audio_features,4R2kfaDFhslZEMJqAFNpdd,spotify:track:4R2kfaDFhslZEMJqAFNpdd,https://api.spotify.com/v1/tracks/4R2kfaDFhslZEMJqAFNpdd,https://api.spotify.com/v1/audio-analysis/4R2kfaDFhslZEMJqAFNpdd,239560,4,
0.49,0.138,4,-13.18,1,0.0344,0.829,0.000237,0.12,0.15,85.921,audio_features,48PFfbnf0ZRcGCxO4zApPp,spotify:track:48PFfbnf0ZRcGCxO4zApPp,https://api.spotify.com/v1/tracks/48PFfbnf0ZRcGCxO4zApPp,https://api.spotify.com/v1/audio-analysis/48PFfbnf0ZRcGCxO4zApPp,211038,4,
0.456,0.75,9,-4.609,0,0.0444,0.115,1.69e-05,0.114,0.564,80.019,audio_features,4byXh93siQtzKLdjKuJaAF,spotify:track:4byXh93siQtzKLdjKuJaAF,https://api.spotify.com/v1/tracks/4byXh93siQtzKLdjKuJaAF,https://api.spotify.com/v1/audio-analysis/4byXh93siQtzKLdjKuJaAF,331013,4,
0.555,0.727,6,-4.202,1,0.0388,0.0579,7.52e-06,0.0937,0.739,82.142,audio_features,4JpazKcfOhbwqZrsYhzHee,spotify:track:4JpazKcfOhbwqZrsYhzHee,https://api.spotify.com/v1/tracks/4JpazKcfOhbwqZrsYhzHee,https://api.spotify.com/v1/audio-analysis/4JpazKcfOhbwqZrsYhzHee,223120,4,
0.559,0.443,0,-6.52,0,0.0259,0.403,0.000183,0.141,0.264,67.05,audio_features,1XJQ7xI6jzcZybuHemxsPP,spotify:track:1XJQ7xI6jzcZybuHemxsPP,https://api.spotify.com/v1/tracks/1XJQ7xI6jzcZybuHemxsPP,https://api.spotify.com/v1/audio-analysis/1XJQ7xI6jzcZybuHemxsPP,323640,3,
