danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,
0.451,0.267,9,-12.362,1,0.0415,0.637,0,0.0894,0.331,138.202,audio_features,2zTjKIhgvU7mt6pbkWdzhi,spotify:track:2zTjKIhgvU7mt6pbkWdzhi,https://api.spotify.com/v1/tracks/2zTjKIhgvU7mt6pbkWdzhi,https://api.spotify.com/v1/audio-analysis/2zTjKIhgvU7mt6pbkWdzhi,187120,4,
0.677,0.833,7,-4.997,1,0.0762,0.256,0.000158,0.142,0.631,90.997,audio_features,69WkwzVjQS4Dc8QQtpz0qM,spotify:track:69WkwzVjQS4Dc8QQtpz0qM,https://api.spotify.com/v1/tracks/69WkwzVjQS4Dc8QQtpz0qM,https://api.spotify.com/v1/audio-analysis/69WkwzVjQS4Dc8QQtpz0qM,210573,4,
0.559,0.31,10,-10.445,1,0.0338,0.881,0,0.106,0.46,119.845,audio_features,2NmsngXHeC1GQ9wWrzhOMf,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,https://api.spotify.com/v1/tracks/2NmsngXHeC1GQ9wWrzhOMf,https://api.spotify.com/v1/audio-analysis/2NmsngXHeC1GQ9wWrzhOMf,190898,4,
0.506,0.205,7,-14.487,1,0.149,0.725,0,0.1,0.125,102.769,audio_features,1slR1ayGGyNR6suZyH3Shk,spotify:track:1slR1ayGGyNR6suZyH3Shk,https://api.spotify.com/v1/tracks/1slR1ayGGyNR6suZyH3Shk,https://api.spotify.com/v1/audio-analysis/1slR1ayGGyNR6suZyH3Shk,268040,3,
0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,audio_features,4R2kfaDFhslZEMJqAFNpdd,spotify:track:4R2kfaDFhslZEMJqAFNpdd,https://api.spotify.com/v1/tracks/4R2kfaDFhslZEMJqAFNpdd,https://api.spotify.com/v1/audio-analysis/4R2kfaDFhslZEMJqAFNpdd,239560,4,
0.622,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.452,audio_features,0a7BloCiNzLDD9qSQHh5m7,spotify:track:0a7BloCiNzLDD9qSQHh5m7,https://api.spotify.com/v1/tracks/0a7BloCiNzLDD9qSQHh5m7,https://api.spotify.com/v1/audio-analysis/0a7BloCiNzLDD9qSQHh5m7,180267,4,
0.405,0.689,10,-5.75,1,0.0365,0.0843,0,0.207,0.397,155.189,audio_features,1S30kHvkkdMkcuCTGSgS41,spotify:track:1S30kHvkkdMkcuCTGSgS41,https://api.spotify.com/v1/tracks/1S30kHvkkdMkcuCTGSgS41,https://api.spotify.com/v1/audio-analysis/1S30kHvkkdMkcuCTGSgS41,191560,4,
0.582,0.829,11,-5.054,1,0.0741,0.209,0,0.0828,0.714,127.937,audio_features,74IgSPXYXx7v95NpCzGgsW,spotify:track:74IgSPXYXx7v95NpCzGgsW,https://api.spotify.com/v1/tracks/74IgSPXYXx7v95NpCzGgsW,https://api.spotify.com/v1/audio-analysis/74IgSPXYXx7v95NpCzGgsW,182467,4,
0.455,0.48,0,-5.583,1,0.0321,0.537,0,0.15,0.203,150.066,audio_features,6CVOAQAtEUczusr91X6JGD,spotify:track:6CVOAQAtEUczusr91X6JGD,https://api.spotify.com/v1/tracks/6CVOAQAtEUczusr91X6JGD,https://api.spotify.com/v1/audio-analysis/6CVOAQAtEUczusr91X6JGD,229573,3,
0.456,0.75,9,-4.609,0,0.0444,0.115,1.69e-05,0.114,0.564,80.019,audio_features,4byXh93siQtzKLdjKuJaAF,spotify:track:4byXh93siQtzKLdjKuJaAF,https://api.spotify.com/v1/tracks/4byXh93siQtzKLdjKuJaAF,https://api.spotify.com/v1/audio-analysis/4byXh93siQtzKLdjKuJaAF,331013,4,
0.512,0.965,6,-3.692,1,0.0453,6.38e-05,2.9e-05,0.173,0.493,140.072,audio_features,47eL0bckn5g3k5VBwgu969,spotify:track:47eL0bckn5g3k5VBwgu969,https://api.spotify.com/v1/tracks/47eL0bckn5g3k5VBwgu969,https://api.spotify.com/v1/audio-analysis/47eL0bckn5g3k5VBwgu969,201076,4,
0.692,0.664,10,-7.197,1,0.0522,0.12,0,0.1,0.462,128.958,audio_features,4F4jOOUGIt0eyaUnZXYwhQ,spotify:track:4F4jOOUGIt0eyaUnZXYwhQ,https://api.spotify.com/v1/tracks/4F4jOOUGIt0eyaUnZXYwhQ,https://api.spotify.com/v1/audio-analysis/4F4jOOUGIt0eyaUnZXYwhQ,198440,4,
